raw_organism,raw_drug,canonical_organism,canonical_drug
geotrichum silvicola,fluconazole (clsi),geotrichum silvicola,fluconazole (clsi)
geotrichum silvicola,itraconazole (clsi),geotrichum silvicola,itraconazole (clsi)
geotrichum silvicola,micafungin (clsi),geotrichum silvicola,micafungin (clsi)
geotrichum silvicola,posaconazole (clsi),geotrichum silvicola,posaconazole (clsi)
geotrichum silvicola,uid,geotrichum silvicola,uid
geotrichum silvicola,voriconazole (clsi),geotrichum silvicola,voriconazole (clsi)
gibberella fujikuroi species complex,amphotericin b (clsi),gibberella fujikuroi species complex,amphotericin b (clsi)
gibberella fujikuroi species complex,anidulafungin (clsi),gibberella fujikuroi species complex,anidulafungin (clsi)
gibberella fujikuroi species complex,caspofungin (clsi),gibberella fujikuroi species complex,caspofungin (clsi)
gibberella fujikuroi species complex,itraconazole (clsi),gibberella fujikuroi species complex,itraconazole (clsi)
gibberella fujikuroi species complex,micafungin (clsi),gibberella fujikuroi species complex,micafungin (clsi)
gibberella fujikuroi species complex,posaconazole (clsi),gibberella fujikuroi species complex,posaconazole (clsi)
gibberella fujikuroi species complex,uid,gibberella fujikuroi species complex,uid
gibberella fujikuroi species complex,voriconazole (clsi),gibberella fujikuroi species complex,voriconazole (clsi)
gram negative rods in the family enterobacteriaceae,collection number,gram negative rods in the family enterobacteriaceae,collection number
gram negative rods in the family enterobacteriaceae,levofloxacin,gram negative rods in the family enterobacteriaceae,levofloxacin
gram negative rods in the family enterobacteriaceae,omadacycline,gram negative rods in the family enterobacteriaceae,eravacycline
gram negative rods in the family enterobacteriaceae,study year,gram negative rods in the family enterobacteriaceae,study year
gram negative rods in the family enterobacteriaceae,tigecycline,gram negative rods in the family enterobacteriaceae,tigecycline
haemophilus influenzae,collection number,haemophilus influenzae,collection number
haemophilus influenzae,levofloxacin,haemophilus influenzae,levofloxacin
haemophilus influenzae,omadacycline,haemophilus influenzae,eravacycline
haemophilus influenzae,study year,haemophilus influenzae,study year
haemophilus influenzae,tigecycline,haemophilus influenzae,tigecycline
haemophilus parahaemolyticus,tigecycline,haemophilus parahaemolyticus,tigecycline
haemophilus parainfluenzae,collection number,haemophilus influenzae,collection number
haemophilus parainfluenzae,levofloxacin,haemophilus influenzae,levofloxacin
haemophilus parainfluenzae,omadacycline,haemophilus influenzae,eravacycline
haemophilus parainfluenzae,study year,haemophilus influenzae,study year
haemophilus parainfluenzae,tigecycline,haemophilus influenzae,tigecycline
haemophilus pittmaniae,tigecycline,haemophilus influenzae,tigecycline
haemophilus spp,tigecycline,haemophilus spp,tigecycline
hafnia alvei,collection number,hafnia alvei,collection number
hafnia alvei,levofloxacin,hafnia alvei,levofloxacin
hafnia alvei,omadacycline,hafnia alvei,eravacycline
hafnia alvei,study year,hafnia alvei,study year
hafnia alvei,tigecycline,hafnia alvei,tigecycline
klebsiella aerogenes,caz_mic,klebsiella aerogenes,caz_mic
klebsiella aerogenes,collection number,klebsiella aerogenes,collection number
klebsiella aerogenes,fep_mic,klebsiella aerogenes,fep_mic
klebsiella aerogenes,gm_mic,klebsiella aerogenes,gm_mic
klebsiella aerogenes,levofloxacin,klebsiella aerogenes,levofloxacin
klebsiella aerogenes,lvx_mic,klebsiella aerogenes,lvx_mic
klebsiella aerogenes,mem_mic,klebsiella aerogenes,mem_mic
klebsiella aerogenes,omadacycline,klebsiella aerogenes,eravacycline
klebsiella aerogenes,study year,klebsiella aerogenes,study year
klebsiella aerogenes,tigecycline,klebsiella aerogenes,tigecycline
klebsiella aerogenes,tzp_mic,klebsiella aerogenes,tzp_mic
klebsiella ornithinolytica,tigecycline,klebsiella ornithinolytica,tigecycline
klebsiella oxytoca,caz_mic,klebsiella oxytoca,caz_mic
klebsiella oxytoca,collection number,klebsiella oxytoca,collection number
klebsiella oxytoca,fep_mic,klebsiella oxytoca,fep_mic
klebsiella oxytoca,gm_mic,klebsiella oxytoca,gm_mic
klebsiella oxytoca,levofloxacin,klebsiella oxytoca,levofloxacin
klebsiella oxytoca,lvx_mic,klebsiella oxytoca,lvx_mic
klebsiella oxytoca,mem_mic,klebsiella oxytoca,mem_mic
klebsiella oxytoca,omadacycline,klebsiella oxytoca,eravacycline
klebsiella oxytoca,study year,klebsiella oxytoca,study year
klebsiella oxytoca,tigecycline,klebsiella oxytoca,tigecycline
klebsiella oxytoca,tzp_mic,klebsiella oxytoca,tzp_mic
klebsiella ozaenae,tigecycline,klebsiella ozaenae,tigecycline
klebsiella planticola,tigecycline,klebsiella planticola,tigecycline
klebsiella pneumoniae,caz_mic,klebsiella pneumoniae,caz_mic
klebsiella pneumoniae,collection number,klebsiella pneumoniae,collection number
klebsiella pneumoniae,fep_mic,klebsiella pneumoniae,fep_mic
klebsiella pneumoniae,gm_mic,klebsiella pneumoniae,gm_mic
klebsiella pneumoniae,levofloxacin,klebsiella pneumoniae,levofloxacin
klebsiella pneumoniae,lvx_mic,klebsiella pneumoniae,lvx_mic
klebsiella pneumoniae,mem_mic,klebsiella pneumoniae,mem_mic
klebsiella pneumoniae,omadacycline,klebsiella pneumoniae,eravacycline
klebsiella pneumoniae,study year,klebsiella pneumoniae,study year
klebsiella pneumoniae,tigecycline,klebsiella pneumoniae,tigecycline
klebsiella pneumoniae,tzp_mic,klebsiella pneumoniae,tzp_mic
klebsiella rhinoscleromatis,tigecycline,klebsiella rhinoscleromatis,tigecycline
klebsiella spp,tigecycline,klebsiella spp,tigecycline
klebsiella variicola,caz_mic,klebsiella variicola,caz_mic
klebsiella variicola,collection number,klebsiella variicola,collection number
klebsiella variicola,fep_mic,klebsiella variicola,fep_mic
klebsiella variicola,gm_mic,klebsiella variicola,gm_mic
klebsiella variicola,levofloxacin,klebsiella variicola,levofloxacin
klebsiella variicola,lvx_mic,klebsiella variicola,lvx_mic
klebsiella variicola,mem_mic,klebsiella variicola,mem_mic
klebsiella variicola,omadacycline,klebsiella variicola,eravacycline
klebsiella variicola,study year,klebsiella variicola,study year
klebsiella variicola,tigecycline,klebsiella variicola,tigecycline
klebsiella variicola,tzp_mic,klebsiella variicola,tzp_mic
"klebsiella, non-speciated",tigecycline,"klebsiella, non-speciated",tigecycline
kluyvera ascorbata,collection number,kluyvera ascorbata,collection number
kluyvera ascorbata,levofloxacin,kluyvera ascorbata,levofloxacin
kluyvera ascorbata,omadacycline,kluyvera ascorbata,eravacycline
kluyvera ascorbata,study year,kluyvera ascorbata,study year
kluyvera ascorbata,tigecycline,kluyvera ascorbata,tigecycline
kodamaea ohmeri,amphotericin b (clsi),kodamaea ohmeri,amphotericin b (clsi)
kodamaea ohmeri,anidulafungin (clsi),kodamaea ohmeri,anidulafungin (clsi)
kodamaea ohmeri,caspofungin (clsi),kodamaea ohmeri,caspofungin (clsi)
kodamaea ohmeri,fluconazole (clsi),kodamaea ohmeri,fluconazole (clsi)
kodamaea ohmeri,itraconazole (clsi),kodamaea ohmeri,itraconazole (clsi)
kodamaea ohmeri,micafungin (clsi),kodamaea ohmeri,micafungin (clsi)
kodamaea ohmeri,posaconazole (clsi),kodamaea ohmeri,posaconazole (clsi)
kodamaea ohmeri,uid,kodamaea ohmeri,uid
kodamaea ohmeri,voriconazole (clsi),kodamaea ohmeri,voriconazole (clsi)
kosakonia cowanii,collection number,kosakonia cowanii,collection number
kosakonia cowanii,levofloxacin,kosakonia cowanii,levofloxacin
kosakonia cowanii,omadacycline,kosakonia cowanii,eravacycline
kosakonia cowanii,study year,kosakonia cowanii,study year
kosakonia cowanii,tigecycline,kosakonia cowanii,tigecycline
lactobacillus casei,tigecycline,lactobacillus casei,tigecycline
lancefieldella parvula,tigecycline,lancefieldella parvula,tigecycline
leclercia adecarboxylata,collection number,leclercia adecarboxylata,collection number
leclercia adecarboxylata,levofloxacin,leclercia adecarboxylata,levofloxacin
leclercia adecarboxylata,omadacycline,leclercia adecarboxylata,eravacycline
leclercia adecarboxylata,study year,leclercia adecarboxylata,study year
leclercia adecarboxylata,tigecycline,leclercia adecarboxylata,tigecycline
lelliottia amnigena,collection number,lelliottia amnigena,collection number
lelliottia amnigena,levofloxacin,lelliottia amnigena,levofloxacin
lelliottia amnigena,omadacycline,lelliottia amnigena,eravacycline
lelliottia amnigena,study year,lelliottia amnigena,study year
lelliottia amnigena,tigecycline,lelliottia amnigena,tigecycline
lichtheimia corymbifera,amphotericin b (clsi),lichtheimia corymbifera,amphotericin b (clsi)
lichtheimia corymbifera,anidulafungin (clsi),lichtheimia corymbifera,anidulafungin (clsi)
lichtheimia corymbifera,caspofungin (clsi),lichtheimia corymbifera,caspofungin (clsi)
lichtheimia corymbifera,itraconazole (clsi),lichtheimia corymbifera,itraconazole (clsi)
lichtheimia corymbifera,micafungin (clsi),lichtheimia corymbifera,micafungin (clsi)
lichtheimia corymbifera,posaconazole (clsi),lichtheimia corymbifera,posaconazole (clsi)
lichtheimia corymbifera,uid,lichtheimia corymbifera,uid
lichtheimia corymbifera,voriconazole (clsi),lichtheimia corymbifera,voriconazole (clsi)
lichtheimia ramosa,amphotericin b (clsi),lichtheimia ramosa,amphotericin b (clsi)
lichtheimia ramosa,anidulafungin (clsi),lichtheimia ramosa,anidulafungin (clsi)
lichtheimia ramosa,caspofungin (clsi),lichtheimia ramosa,caspofungin (clsi)
lichtheimia ramosa,itraconazole (clsi),lichtheimia ramosa,itraconazole (clsi)
lichtheimia ramosa,micafungin (clsi),lichtheimia ramosa,micafungin (clsi)
lichtheimia ramosa,posaconazole (clsi),lichtheimia ramosa,posaconazole (clsi)
lichtheimia ramosa,uid,lichtheimia ramosa,uid
lichtheimia ramosa,voriconazole (clsi),lichtheimia ramosa,voriconazole (clsi)
lodderomyces elongisporus,amphotericin b (clsi),lodderomyces elongisporus,amphotericin b (clsi)
lodderomyces elongisporus,anidulafungin (clsi),lodderomyces elongisporus,anidulafungin (clsi)
lodderomyces elongisporus,caspofungin (clsi),lodderomyces elongisporus,caspofungin (clsi)
lodderomyces elongisporus,fluconazole (clsi),lodderomyces elongisporus,fluconazole (clsi)
lodderomyces elongisporus,itraconazole (clsi),lodderomyces elongisporus,itraconazole (clsi)
lodderomyces elongisporus,micafungin (clsi),lodderomyces elongisporus,micafungin (clsi)
lodderomyces elongisporus,posaconazole (clsi),lodderomyces elongisporus,posaconazole (clsi)
lodderomyces elongisporus,uid,lodderomyces elongisporus,uid
lodderomyces elongisporus,voriconazole (clsi),lodderomyces elongisporus,voriconazole (clsi)
lomentospora prolificans,amphotericin b (clsi),lomentospora prolificans,amphotericin b (clsi)
lomentospora prolificans,anidulafungin (clsi),lomentospora prolificans,anidulafungin (clsi)
lomentospora prolificans,caspofungin (clsi),lomentospora prolificans,caspofungin (clsi)
lomentospora prolificans,itraconazole (clsi),lomentospora prolificans,itraconazole (clsi)
lomentospora prolificans,micafungin (clsi),lomentospora prolificans,micafungin (clsi)
lomentospora prolificans,posaconazole (clsi),lomentospora prolificans,posaconazole (clsi)
lomentospora prolificans,uid,lomentospora prolificans,uid
lomentospora prolificans,voriconazole (clsi),lomentospora prolificans,voriconazole (clsi)
magnusiomyces capitatus,amphotericin b (clsi),magnusiomyces capitatus,amphotericin b (clsi)
magnusiomyces capitatus,anidulafungin (clsi),magnusiomyces capitatus,anidulafungin (clsi)
magnusiomyces capitatus,caspofungin (clsi),magnusiomyces capitatus,caspofungin (clsi)
magnusiomyces capitatus,fluconazole (clsi),magnusiomyces capitatus,fluconazole (clsi)
magnusiomyces capitatus,itraconazole (clsi),magnusiomyces capitatus,itraconazole (clsi)
magnusiomyces capitatus,micafungin (clsi),magnusiomyces capitatus,micafungin (clsi)
magnusiomyces capitatus,posaconazole (clsi),magnusiomyces capitatus,posaconazole (clsi)
magnusiomyces capitatus,uid,magnusiomyces capitatus,uid
magnusiomyces capitatus,voriconazole (clsi),magnusiomyces capitatus,voriconazole (clsi)
malassezia pachydermatis,amphotericin b (clsi),malassezia pachydermatis,amphotericin b (clsi)
malassezia pachydermatis,anidulafungin (clsi),malassezia pachydermatis,anidulafungin (clsi)
malassezia pachydermatis,caspofungin (clsi),malassezia pachydermatis,caspofungin (clsi)
malassezia pachydermatis,fluconazole (clsi),malassezia pachydermatis,fluconazole (clsi)
malassezia pachydermatis,itraconazole (clsi),malassezia pachydermatis,itraconazole (clsi)
malassezia pachydermatis,micafungin (clsi),malassezia pachydermatis,micafungin (clsi)
malassezia pachydermatis,posaconazole (clsi),malassezia pachydermatis,posaconazole (clsi)
malassezia pachydermatis,uid,malassezia pachydermatis,uid
malassezia pachydermatis,voriconazole (clsi),malassezia pachydermatis,voriconazole (clsi)
medicopsis romeroi,amphotericin b (clsi),medicopsis romeroi,amphotericin b (clsi)
medicopsis romeroi,anidulafungin (clsi),medicopsis romeroi,anidulafungin (clsi)
medicopsis romeroi,caspofungin (clsi),medicopsis romeroi,caspofungin (clsi)
medicopsis romeroi,itraconazole (clsi),medicopsis romeroi,itraconazole (clsi)
medicopsis romeroi,micafungin (clsi),medicopsis romeroi,micafungin (clsi)
medicopsis romeroi,posaconazole (clsi),medicopsis romeroi,posaconazole (clsi)
medicopsis romeroi,uid,medicopsis romeroi,uid
medicopsis romeroi,voriconazole (clsi),medicopsis romeroi,voriconazole (clsi)
microascus cirrosus,amphotericin b (clsi),microascus cirrosus,amphotericin b (clsi)
microascus cirrosus,anidulafungin (clsi),microascus cirrosus,anidulafungin (clsi)
microascus cirrosus,caspofungin (clsi),microascus cirrosus,caspofungin (clsi)
microascus cirrosus,itraconazole (clsi),microascus cirrosus,itraconazole (clsi)
microascus cirrosus,micafungin (clsi),microascus cirrosus,micafungin (clsi)
microascus cirrosus,posaconazole (clsi),microascus cirrosus,posaconazole (clsi)
microascus cirrosus,uid,microascus cirrosus,uid
microascus cirrosus,voriconazole (clsi),microascus cirrosus,voriconazole (clsi)
monascus ruber,amphotericin b (clsi),monascus ruber,amphotericin b (clsi)
monascus ruber,anidulafungin (clsi),monascus ruber,anidulafungin (clsi)
monascus ruber,caspofungin (clsi),monascus ruber,caspofungin (clsi)
monascus ruber,itraconazole (clsi),monascus ruber,itraconazole (clsi)
monascus ruber,micafungin (clsi),monascus ruber,micafungin (clsi)
monascus ruber,posaconazole (clsi),monascus ruber,posaconazole (clsi)
monascus ruber,uid,monascus ruber,uid
monascus ruber,voriconazole (clsi),monascus ruber,voriconazole (clsi)
moraxella catarrhalis,collection number,moraxella catarrhalis,collection number
moraxella catarrhalis,levofloxacin,moraxella catarrhalis,levofloxacin
moraxella catarrhalis,omadacycline,moraxella catarrhalis,eravacycline
moraxella catarrhalis,study year,moraxella catarrhalis,study year
moraxella catarrhalis,tigecycline,moraxella catarrhalis,tigecycline
moraxella lacunata,collection number,moraxella catarrhalis,collection number
moraxella lacunata,levofloxacin,moraxella catarrhalis,levofloxacin
moraxella lacunata,omadacycline,moraxella catarrhalis,eravacycline
moraxella lacunata,study year,moraxella catarrhalis,study year
moraxella lacunata,tigecycline,moraxella catarrhalis,tigecycline
moraxella nonliquefaciens,collection number,moraxella nonliquefaciens,collection number
moraxella nonliquefaciens,levofloxacin,moraxella nonliquefaciens,levofloxacin
moraxella nonliquefaciens,omadacycline,moraxella nonliquefaciens,eravacycline
moraxella nonliquefaciens,study year,moraxella nonliquefaciens,study year
moraxella nonliquefaciens,tigecycline,moraxella nonliquefaciens,tigecycline
moraxella osloensis,collection number,moraxella osloensis,collection number
moraxella osloensis,levofloxacin,moraxella osloensis,levofloxacin
moraxella osloensis,omadacycline,moraxella osloensis,eravacycline
moraxella osloensis,study year,moraxella osloensis,study year
moraxella osloensis,tigecycline,moraxella osloensis,tigecycline
moraxella spp,tigecycline,moraxella spp,tigecycline
morganella morganii,caz_mic,morganella morganii,caz_mic
morganella morganii,collection number,morganella morganii,collection number
morganella morganii,fep_mic,morganella morganii,fep_mic
morganella morganii,gm_mic,morganella morganii,gm_mic
morganella morganii,levofloxacin,morganella morganii,levofloxacin
morganella morganii,lvx_mic,morganella morganii,lvx_mic
morganella morganii,mem_mic,morganella morganii,mem_mic
morganella morganii,omadacycline,morganella morganii,eravacycline
morganella morganii,study year,morganella morganii,study year
morganella morganii,tigecycline,morganella morganii,tigecycline
morganella morganii,tzp_mic,morganella morganii,tzp_mic
morganella spp,tigecycline,morganella spp,tigecycline
mucor circinelloides,amphotericin b (clsi),mucor circinelloides,amphotericin b (clsi)
mucor circinelloides,anidulafungin (clsi),mucor circinelloides,anidulafungin (clsi)
mucor circinelloides,caspofungin (clsi),mucor circinelloides,caspofungin (clsi)
mucor circinelloides,itraconazole (clsi),mucor circinelloides,itraconazole (clsi)
mucor circinelloides,micafungin (clsi),mucor circinelloides,micafungin (clsi)
mucor circinelloides,posaconazole (clsi),mucor circinelloides,posaconazole (clsi)
mucor circinelloides,uid,mucor circinelloides,uid
mucor circinelloides,voriconazole (clsi),mucor circinelloides,voriconazole (clsi)
mucor circinelloides/ mucor ramosissimus,amphotericin b (clsi),mucor circinelloides/ mucor ramosissimus,amphotericin b (clsi)
mucor circinelloides/ mucor ramosissimus,anidulafungin (clsi),mucor circinelloides/ mucor ramosissimus,anidulafungin (clsi)
mucor circinelloides/ mucor ramosissimus,caspofungin (clsi),mucor circinelloides/ mucor ramosissimus,caspofungin (clsi)
mucor circinelloides/ mucor ramosissimus,itraconazole (clsi),mucor circinelloides/ mucor ramosissimus,itraconazole (clsi)
mucor circinelloides/ mucor ramosissimus,micafungin (clsi),mucor circinelloides/ mucor ramosissimus,micafungin (clsi)
mucor circinelloides/ mucor ramosissimus,posaconazole (clsi),mucor circinelloides/ mucor ramosissimus,posaconazole (clsi)
mucor circinelloides/ mucor ramosissimus,uid,mucor circinelloides/ mucor ramosissimus,uid
mucor circinelloides/ mucor ramosissimus,voriconazole (clsi),mucor circinelloides/ mucor ramosissimus,voriconazole (clsi)
mucor indicus,amphotericin b (clsi),mucor indicus,amphotericin b (clsi)
mucor indicus,anidulafungin (clsi),mucor indicus,anidulafungin (clsi)
mucor indicus,caspofungin (clsi),mucor indicus,caspofungin (clsi)
mucor indicus,itraconazole (clsi),mucor indicus,itraconazole (clsi)
mucor indicus,micafungin (clsi),mucor indicus,micafungin (clsi)
mucor indicus,posaconazole (clsi),mucor indicus,posaconazole (clsi)
mucor indicus,uid,mucor indicus,uid
mucor indicus,voriconazole (clsi),mucor indicus,voriconazole (clsi)
myroides odoratimimus,tigecycline,myroides odoratimimus,tigecycline
ochrobactrum anthropi,tigecycline,ochrobactrum anthropi,tigecycline
paecilomyces lilacinus,amphotericin b (clsi),paecilomyces lilacinus,amphotericin b (clsi)
paecilomyces lilacinus,anidulafungin (clsi),paecilomyces lilacinus,anidulafungin (clsi)
paecilomyces lilacinus,caspofungin (clsi),paecilomyces lilacinus,caspofungin (clsi)
paecilomyces lilacinus,itraconazole (clsi),paecilomyces lilacinus,itraconazole (clsi)
paecilomyces lilacinus,micafungin (clsi),paecilomyces lilacinus,micafungin (clsi)
paecilomyces lilacinus,posaconazole (clsi),paecilomyces lilacinus,posaconazole (clsi)
paecilomyces lilacinus,uid,paecilomyces lilacinus,uid
paecilomyces lilacinus,voriconazole (clsi),paecilomyces lilacinus,voriconazole (clsi)
paecilomyces variotii,amphotericin b (clsi),paecilomyces variotii,amphotericin b (clsi)
paecilomyces variotii,anidulafungin (clsi),paecilomyces variotii,anidulafungin (clsi)
paecilomyces variotii,caspofungin (clsi),paecilomyces variotii,caspofungin (clsi)
paecilomyces variotii,itraconazole (clsi),paecilomyces variotii,itraconazole (clsi)
paecilomyces variotii,micafungin (clsi),paecilomyces variotii,micafungin (clsi)
paecilomyces variotii,posaconazole (clsi),paecilomyces variotii,posaconazole (clsi)
paecilomyces variotii,uid,paecilomyces variotii,uid
paecilomyces variotii,voriconazole (clsi),paecilomyces variotii,voriconazole (clsi)
paeniclostridium sordelli,tigecycline,paeniclostridium sordelli,tigecycline
pantoea agglomerans,collection number,pantoea agglomerans,collection number
pantoea agglomerans,levofloxacin,pantoea agglomerans,levofloxacin
pantoea agglomerans,omadacycline,pantoea agglomerans,eravacycline
pantoea agglomerans,study year,pantoea agglomerans,study year
pantoea agglomerans,tigecycline,pantoea agglomerans,tigecycline
pantoea ananatis,collection number,pantoea ananatis,collection number
pantoea ananatis,levofloxacin,pantoea ananatis,levofloxacin
pantoea ananatis,omadacycline,pantoea ananatis,eravacycline
pantoea ananatis,study year,pantoea ananatis,study year
pantoea ananatis,tigecycline,pantoea ananatis,tigecycline
pantoea anthophila,collection number,pantoea anthophila,collection number
pantoea anthophila,levofloxacin,pantoea anthophila,levofloxacin
pantoea anthophila,omadacycline,pantoea anthophila,eravacycline
pantoea anthophila,study year,pantoea anthophila,study year
pantoea anthophila,tigecycline,pantoea anthophila,tigecycline
pantoea calida,collection number,pantoea calida,collection number
pantoea calida,omadacycline,pantoea calida,eravacycline
pantoea calida,study year,pantoea calida,study year
pantoea calida,tigecycline,pantoea calida,tigecycline
pantoea dispersa,collection number,pantoea dispersa,collection number
pantoea dispersa,levofloxacin,pantoea dispersa,levofloxacin
pantoea dispersa,omadacycline,pantoea dispersa,eravacycline
pantoea dispersa,study year,pantoea dispersa,study year
pantoea dispersa,tigecycline,pantoea dispersa,tigecycline
pantoea eucrina,collection number,pantoea eucrina,collection number
pantoea eucrina,levofloxacin,pantoea eucrina,levofloxacin
pantoea eucrina,omadacycline,pantoea eucrina,eravacycline
pantoea eucrina,study year,pantoea eucrina,study year
pantoea eucrina,tigecycline,pantoea eucrina,tigecycline
pantoea piersonii,collection number,pantoea piersonii,collection number
pantoea piersonii,levofloxacin,pantoea piersonii,levofloxacin
pantoea piersonii,omadacycline,pantoea piersonii,eravacycline
pantoea piersonii,study year,pantoea piersonii,study year
pantoea piersonii,tigecycline,pantoea piersonii,tigecycline
pantoea septica,tigecycline,pantoea septica,tigecycline
pantoea spp,tigecycline,pantoea spp,tigecycline
parabacteroides distasonis,tigecycline,parabacteroides distasonis,tigecycline
parabacteroides goldsteinii,tigecycline,parabacteroides goldsteinii,tigecycline
parabacteroides johnsonii,tigecycline,parabacteroides johnsonii,tigecycline
parabacteroides spp,tigecycline,parabacteroides spp,tigecycline
paraclostridium bifermentans,tigecycline,paraclostridium bifermentans,tigecycline
parvimonas micra,tigecycline,parvimonas micra,tigecycline
penicillium citrinum,amphotericin b (clsi),penicillium citrinum,amphotericin b (clsi)
penicillium citrinum,anidulafungin (clsi),penicillium citrinum,anidulafungin (clsi)
penicillium citrinum,caspofungin (clsi),penicillium citrinum,caspofungin (clsi)
penicillium citrinum,itraconazole (clsi),penicillium citrinum,itraconazole (clsi)
penicillium citrinum,micafungin (clsi),penicillium citrinum,micafungin (clsi)
penicillium citrinum,posaconazole (clsi),penicillium citrinum,posaconazole (clsi)
penicillium citrinum,uid,penicillium citrinum,uid
penicillium citrinum,voriconazole (clsi),penicillium citrinum,voriconazole (clsi)
penicillium georgiense,amphotericin b (clsi),penicillium georgiense,amphotericin b (clsi)
penicillium georgiense,anidulafungin (clsi),penicillium georgiense,anidulafungin (clsi)
penicillium georgiense,caspofungin (clsi),penicillium georgiense,caspofungin (clsi)
penicillium georgiense,itraconazole (clsi),penicillium georgiense,itraconazole (clsi)
penicillium georgiense,micafungin (clsi),penicillium georgiense,micafungin (clsi)
penicillium georgiense,posaconazole (clsi),penicillium georgiense,posaconazole (clsi)
penicillium georgiense,uid,penicillium georgiense,uid
penicillium georgiense,voriconazole (clsi),penicillium georgiense,voriconazole (clsi)
penicillium roqueforti group,amphotericin b (clsi),penicillium roqueforti group,amphotericin b (clsi)
penicillium roqueforti group,anidulafungin (clsi),penicillium roqueforti group,anidulafungin (clsi)
penicillium roqueforti group,caspofungin (clsi),penicillium roqueforti group,caspofungin (clsi)
penicillium roqueforti group,itraconazole (clsi),penicillium roqueforti group,itraconazole (clsi)
penicillium roqueforti group,micafungin (clsi),penicillium roqueforti group,micafungin (clsi)
penicillium roqueforti group,posaconazole (clsi),penicillium roqueforti group,posaconazole (clsi)
penicillium roqueforti group,uid,penicillium roqueforti group,uid
penicillium roqueforti group,voriconazole (clsi),penicillium roqueforti group,voriconazole (clsi)
penicillium subgenus aspergilloides,amphotericin b (clsi),penicillium subgenus aspergilloides,amphotericin b (clsi)
penicillium subgenus aspergilloides,anidulafungin (clsi),penicillium subgenus aspergilloides,anidulafungin (clsi)
penicillium subgenus aspergilloides,caspofungin (clsi),penicillium subgenus aspergilloides,caspofungin (clsi)
penicillium subgenus aspergilloides,itraconazole (clsi),penicillium subgenus aspergilloides,itraconazole (clsi)
penicillium subgenus aspergilloides,micafungin (clsi),penicillium subgenus aspergilloides,micafungin (clsi)
penicillium subgenus aspergilloides,posaconazole (clsi),penicillium subgenus aspergilloides,posaconazole (clsi)
penicillium subgenus aspergilloides,uid,penicillium subgenus aspergilloides,uid
penicillium subgenus aspergilloides,voriconazole (clsi),penicillium subgenus aspergilloides,voriconazole (clsi)
penicillium subgenus furcatum,amphotericin b (clsi),penicillium subgenus furcatum,amphotericin b (clsi)
penicillium subgenus furcatum,anidulafungin (clsi),penicillium subgenus furcatum,anidulafungin (clsi)
penicillium subgenus furcatum,caspofungin (clsi),penicillium subgenus furcatum,caspofungin (clsi)
penicillium subgenus furcatum,itraconazole (clsi),penicillium subgenus furcatum,itraconazole (clsi)
penicillium subgenus furcatum,micafungin (clsi),penicillium subgenus furcatum,micafungin (clsi)
penicillium subgenus furcatum,posaconazole (clsi),penicillium subgenus furcatum,posaconazole (clsi)
penicillium subgenus furcatum,uid,penicillium subgenus furcatum,uid
penicillium subgenus furcatum,voriconazole (clsi),penicillium subgenus furcatum,voriconazole (clsi)
penicillium subgenus terverticillata,amphotericin b (clsi),penicillium subgenus terverticillata,amphotericin b (clsi)
penicillium subgenus terverticillata,anidulafungin (clsi),penicillium subgenus terverticillata,anidulafungin (clsi)
penicillium subgenus terverticillata,caspofungin (clsi),penicillium subgenus terverticillata,caspofungin (clsi)
penicillium subgenus terverticillata,itraconazole (clsi),penicillium subgenus terverticillata,itraconazole (clsi)
penicillium subgenus terverticillata,micafungin (clsi),penicillium subgenus terverticillata,micafungin (clsi)
penicillium subgenus terverticillata,posaconazole (clsi),penicillium subgenus terverticillata,posaconazole (clsi)
penicillium subgenus terverticillata,uid,penicillium subgenus terverticillata,uid
penicillium subgenus terverticillata,voriconazole (clsi),penicillium subgenus terverticillata,voriconazole (clsi)
penicillium variabile,amphotericin b (clsi),penicillium variabile,amphotericin b (clsi)
penicillium variabile,anidulafungin (clsi),penicillium variabile,anidulafungin (clsi)
penicillium variabile,caspofungin (clsi),penicillium variabile,caspofungin (clsi)
penicillium variabile,itraconazole (clsi),penicillium variabile,itraconazole (clsi)
penicillium variabile,micafungin (clsi),penicillium variabile,micafungin (clsi)
penicillium variabile,posaconazole (clsi),penicillium variabile,posaconazole (clsi)
penicillium variabile,uid,penicillium variabile,uid
penicillium variabile,voriconazole (clsi),penicillium variabile,voriconazole (clsi)
peptoniphilus asaccharolyticus,tigecycline,peptoniphilus asaccharolyticus,tigecycline
peptoniphilus coxii,tigecycline,peptoniphilus coxii,tigecycline
peptoniphilus harei,tigecycline,peptoniphilus harei,tigecycline
peptoniphilus indolicus,tigecycline,peptoniphilus indolicus,tigecycline
peptoniphilus spp,tigecycline,peptoniphilus spp,tigecycline
peptostreptococcus anaerobius,tigecycline,peptostreptococcus anaerobius,tigecycline
peptostreptococcus lactolyticus,tigecycline,beta-hemolytic streptococcus,tigecycline
peptostreptococcus magnus,tigecycline,streptococcus anginosus group,tigecycline
peptostreptococcus spp,tigecycline,streptococcus pneumoniae,tigecycline
phaeoacremonium parasiticum,amphotericin b (clsi),phaeoacremonium parasiticum,amphotericin b (clsi)
phaeoacremonium parasiticum,anidulafungin (clsi),phaeoacremonium parasiticum,anidulafungin (clsi)
